id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_pemustaka,satuan,tahun
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,51,PENGUNJUNG,2022
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,33,PENGUNJUNG,2022
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,66,PENGUNJUNG,2022
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,35,PENGUNJUNG,2022
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,117,PENGUNJUNG,2022
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,84,PENGUNJUNG,2022
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,175,PENGUNJUNG,2022
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,30,PENGUNJUNG,2022
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,137,PENGUNJUNG,2022
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,PENGUNJUNG,2022
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,PENGUNJUNG,2022
73,32,JAWA BARAT,3271,KOTA BOGOR,26,PENGUNJUNG,2022
74,32,JAWA BARAT,3272,KOTA SUKABUMI,94,PENGUNJUNG,2022
75,32,JAWA BARAT,3273,KOTA BANDUNG,100,PENGUNJUNG,2022
76,32,JAWA BARAT,3274,KOTA CIREBON,83,PENGUNJUNG,2022
77,32,JAWA BARAT,3275,KOTA BEKASI,30,PENGUNJUNG,2022
78,32,JAWA BARAT,3276,KOTA DEPOK,132,PENGUNJUNG,2022
79,32,JAWA BARAT,3277,KOTA CIMAHI,117,PENGUNJUNG,2022
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70,PENGUNJUNG,2022
81,32,JAWA BARAT,3279,KOTA BANJAR,34,PENGUNJUNG,2022
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,103,PENGUNJUNG,2023
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,211,PENGUNJUNG,2023
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,45,PENGUNJUNG,2023
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46,PENGUNJUNG,2023
86,32,JAWA BARAT,3205,KABUPATEN GARUT,160,PENGUNJUNG,2023
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3,PENGUNJUNG,2023
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72,PENGUNJUNG,2023
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,30,PENGUNJUNG,2023
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,110,PENGUNJUNG,2023
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,90,PENGUNJUNG,2023
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,60,PENGUNJUNG,2023
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,136,PENGUNJUNG,2023
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,103,PENGUNJUNG,2023
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,93,PENGUNJUNG,2023
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,40,PENGUNJUNG,2023
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,265,PENGUNJUNG,2023
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,22,PENGUNJUNG,2023
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,32,PENGUNJUNG,2023
100,32,JAWA BARAT,3271,KOTA BOGOR,331,PENGUNJUNG,2023
101,32,JAWA BARAT,3272,KOTA SUKABUMI,109,PENGUNJUNG,2023
102,32,JAWA BARAT,3273,KOTA BANDUNG,308,PENGUNJUNG,2023
103,32,JAWA BARAT,3274,KOTA CIREBON,79,PENGUNJUNG,2023
104,32,JAWA BARAT,3275,KOTA BEKASI,40,PENGUNJUNG,2023
105,32,JAWA BARAT,3276,KOTA DEPOK,175,PENGUNJUNG,2023
106,32,JAWA BARAT,3277,KOTA CIMAHI,50,PENGUNJUNG,2023
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70,PENGUNJUNG,2023
108,32,JAWA BARAT,3279,KOTA BANJAR,134,PENGUNJUNG,2023
